student_id,student_name,grade_label,district_name,school_name,subject_id,fall_score,spring_score,scaled_growth,percentile_change,fall_band,spring_band,growth_flag
STU00011,Kai Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,112.8,198.9,86.1,6,Intervention,Intervention,Strong Growth
STU00011,Kai Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,393.7,290.6,-103.1,-31,At/Above Benchmark,On Watch,Declining
STU00012,Harper Martinez,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,568.9,763.3,194.4,30,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00012,Harper Martinez,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,538.8,664.8,126.0,15,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00013,Reese Rivera,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,348.3,289.0,-59.3,-1,At/Above Benchmark,At/Above Benchmark,Declining
STU00013,Reese Rivera,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,257.6,195.4,-62.2,-3,At/Above Benchmark,At/Above Benchmark,Declining
STU00014,Parker Walker,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,423.4,564.9,141.5,10,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00014,Parker Walker,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,286.5,355.8,69.3,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00015,Harper Smith,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,262.7,403.6,140.9,22,Intervention,At/Above Benchmark,Strong Growth
STU00015,Harper Smith,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,455.5,489.9,34.4,16,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00016,Skyler Johnson,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,491.7,545.6,53.9,7,On Watch,At/Above Benchmark,Strong Growth
STU00016,Skyler Johnson,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,532.7,648.0,115.3,6,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00017,Casey Young,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,849.7,979.8,130.1,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00017,Casey Young,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,496.6,552.5,55.9,10,On Watch,On Watch,Strong Growth
STU00018,Morgan Lopez,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,152.4,86.9,-65.5,0,Urgent Intervention,Urgent Intervention,Declining
STU00018,Morgan Lopez,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,542.2,656.8,114.6,15,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00019,Parker Brown,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,360.2,412.7,52.5,-10,At/Above Benchmark,On Watch,Strong Growth
STU00019,Parker Brown,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,286.9,403.6,116.7,18,On Watch,At/Above Benchmark,Strong Growth
STU00020,Quinn Khan,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,498.9,548.0,49.1,8,Intervention,Intervention,Strong Growth
STU00020,Quinn Khan,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,674.1,689.9,15.8,-5,At/Above Benchmark,At/Above Benchmark,On Track
STU00021,Sage Khan,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,420.5,609.8,189.3,34,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00021,Sage Khan,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,226.2,382.2,156.0,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00022,Avery Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,419.0,568.2,149.2,20,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00022,Avery Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,256.3,324.3,68.0,-4,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00023,Finley Anderson,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,229.1,91.7,-137.4,-23,At/Above Benchmark,Intervention,Declining
STU00023,Finley Anderson,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,129.5,210.4,80.9,22,On Watch,At/Above Benchmark,Strong Growth
STU00024,Harper Smith,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,265.4,417.6,152.2,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00024,Harper Smith,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,277.2,324.4,47.2,5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00025,Reese Davis,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,493.7,633.1,139.4,18,Intervention,On Watch,Strong Growth
STU00025,Reese Davis,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,681.0,745.1,64.1,21,On Watch,At/Above Benchmark,Strong Growth
STU00026,Sage Rivera,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,689.5,736.7,47.2,-6,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00026,Sage Rivera,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,519.3,468.7,-50.6,0,At/Above Benchmark,At/Above Benchmark,Declining
STU00027,Reese Lee,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,222.0,347.7,125.7,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00027,Reese Lee,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,315.4,352.5,37.1,5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00028,Quinn Nguyen,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,408.7,564.6,155.9,7,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00028,Quinn Nguyen,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,468.2,601.9,133.7,15,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00029,Riley Thomas,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,344.5,457.6,113.1,14,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00029,Riley Thomas,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,578.9,679.1,100.2,13,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00030,Skyler Smith,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,732.4,748.2,15.8,0,At/Above Benchmark,At/Above Benchmark,On Track
STU00030,Skyler Smith,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,544.8,668.2,123.4,20,On Watch,At/Above Benchmark,Strong Growth
STU00031,Devon Lopez,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,655.8,591.8,-64.0,-2,At/Above Benchmark,At/Above Benchmark,Declining
STU00031,Devon Lopez,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,602.7,783.4,180.7,38,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00032,Finley Lee,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,583.7,657.9,74.2,13,On Watch,At/Above Benchmark,Strong Growth
STU00032,Finley Lee,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,612.4,647.3,34.9,5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00033,Rowan Hill,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,587.6,598.4,10.8,2,At/Above Benchmark,At/Above Benchmark,On Track
STU00033,Rowan Hill,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,346.9,420.7,73.8,6,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00034,Riley Lee,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,844.7,927.6,82.9,24,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00034,Riley Lee,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,740.6,841.6,101.0,3,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00035,Jordan Khan,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,598.6,646.5,47.9,16,Intervention,On Watch,Strong Growth
STU00035,Jordan Khan,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,695.0,793.3,98.3,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00036,Jordan Chen,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,779.7,782.0,2.3,-6,At/Above Benchmark,At/Above Benchmark,Flat
STU00036,Jordan Chen,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,578.2,480.0,-98.2,-9,At/Above Benchmark,On Watch,Declining
STU00037,Casey Kim,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,50.1,144.2,94.1,15,Intervention,On Watch,Strong Growth
STU00037,Casey Kim,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,198.6,286.8,88.2,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00038,Noa Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,206.2,362.3,156.1,21,On Watch,At/Above Benchmark,Strong Growth
STU00038,Noa Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,247.1,253.3,6.2,6,On Watch,At/Above Benchmark,Flat
STU00039,Emery Young,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,451.2,370.0,-81.2,-12,At/Above Benchmark,At/Above Benchmark,Declining
STU00039,Emery Young,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,198.6,358.9,160.3,20,On Watch,At/Above Benchmark,Strong Growth
STU00040,Jordan Khan,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,681.6,658.3,-23.3,-4,At/Above Benchmark,At/Above Benchmark,Declining
STU00040,Jordan Khan,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,713.5,828.5,115.0,14,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00041,Skyler Smith,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,773.6,796.0,22.4,5,At/Above Benchmark,At/Above Benchmark,On Track
STU00041,Skyler Smith,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,752.9,796.3,43.4,1,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00042,Sage Nguyen,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,368.6,406.7,38.1,2,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00042,Sage Nguyen,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,622.9,656.2,33.3,1,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00043,Rowan Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,626.6,563.1,-63.5,-17,At/Above Benchmark,On Watch,Declining
STU00043,Rowan Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,554.5,501.7,-52.8,-13,At/Above Benchmark,On Watch,Declining
STU00044,Finley Rivera,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,792.7,820.7,28.0,10,At/Above Benchmark,At/Above Benchmark,On Track
STU00044,Finley Rivera,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,894.4,887.5,-6.9,-11,At/Above Benchmark,At/Above Benchmark,Declining
STU00045,Morgan Lopez,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,622.7,581.0,-41.7,3,At/Above Benchmark,At/Above Benchmark,Declining
STU00045,Morgan Lopez,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,453.0,570.9,117.9,18,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00046,Riley Brown,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,637.0,708.0,71.0,-1,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00046,Riley Brown,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,374.0,528.5,154.5,31,On Watch,At/Above Benchmark,Strong Growth
STU00047,Morgan Kim,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,444.5,403.7,-40.8,-2,On Watch,On Watch,Declining
STU00047,Morgan Kim,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,455.9,532.6,76.7,13,On Watch,At/Above Benchmark,Strong Growth
STU00048,Sage Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,497.5,543.6,46.1,3,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00048,Sage Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,361.0,458.0,97.0,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00049,Noa Wilson,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,631.6,675.9,44.3,15,On Watch,At/Above Benchmark,Strong Growth
STU00049,Noa Wilson,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,753.8,701.3,-52.5,1,At/Above Benchmark,At/Above Benchmark,Declining
STU00050,Jamie Garcia,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,188.4,355.7,167.3,21,On Watch,At/Above Benchmark,Strong Growth
STU00050,Jamie Garcia,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,455.4,364.2,-91.2,-13,At/Above Benchmark,At/Above Benchmark,Declining
STU00051,Devon Chen,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,779.7,888.1,108.4,1,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00051,Devon Chen,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,615.0,767.5,152.5,30,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00052,Sage Johnson,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,267.2,416.7,149.5,25,On Watch,At/Above Benchmark,Strong Growth
STU00052,Sage Johnson,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,455.5,533.7,78.2,11,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00053,Avery Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,366.4,334.0,-32.4,-4,At/Above Benchmark,At/Above Benchmark,Declining
STU00053,Avery Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,136.8,206.9,70.1,9,Intervention,On Watch,Strong Growth
STU00054,Rowan Young,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,454.0,386.7,-67.3,-11,At/Above Benchmark,On Watch,Declining
STU00054,Rowan Young,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,364.9,388.4,23.5,8,On Watch,At/Above Benchmark,On Track
STU00055,Logan Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,404.0,342.7,-61.3,-13,At/Above Benchmark,At/Above Benchmark,Declining
STU00055,Logan Wilson,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,398.3,495.3,97.0,8,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00056,Skyler Lee,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,383.7,334.7,-49.0,2,Intervention,Intervention,Declining
STU00056,Skyler Lee,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,771.6,805.7,34.1,-5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00057,Quinn Garcia,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,180.7,188.7,8.0,9,Intervention,On Watch,Flat
STU00057,Quinn Garcia,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,369.9,375.7,5.8,7,At/Above Benchmark,At/Above Benchmark,Flat
STU00058,Emery Brown,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,422.4,512.0,89.6,13,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00058,Emery Brown,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,239.4,359.7,120.3,14,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00059,Noa Thomas,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,647.1,806.2,159.1,5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00059,Noa Thomas,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,853.3,932.4,79.1,8,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00060,Sage Thomas,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,503.8,562.4,58.6,15,Intervention,On Watch,Strong Growth
STU00060,Sage Thomas,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,816.9,768.9,-48.0,5,At/Above Benchmark,At/Above Benchmark,Declining
STU00061,Jamie Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,424.2,479.6,55.4,10,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00061,Jamie Nguyen,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,239.2,172.0,-67.2,-6,At/Above Benchmark,On Watch,Declining
STU00062,Finley Garcia,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,457.1,482.9,25.8,-4,At/Above Benchmark,At/Above Benchmark,On Track
STU00062,Finley Garcia,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,268.9,335.0,66.1,6,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00063,Parker Johnson,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,852.3,909.0,56.7,18,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00063,Parker Johnson,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,662.9,749.5,86.6,17,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00064,Jordan Kim,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,431.9,533.0,101.1,11,Intervention,On Watch,Strong Growth
STU00064,Jordan Kim,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,616.8,564.4,-52.4,-18,At/Above Benchmark,On Watch,Declining
STU00065,Reese Nguyen,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,414.0,519.2,105.2,21,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00065,Reese Nguyen,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,202.3,308.2,105.9,9,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00066,Emery Martinez,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,371.3,528.7,157.4,19,On Watch,At/Above Benchmark,Strong Growth
STU00066,Emery Martinez,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,729.3,574.6,-154.7,-36,At/Above Benchmark,At/Above Benchmark,Declining
STU00067,Jordan Martinez,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,825.5,996.3,170.8,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00067,Jordan Martinez,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,502.3,564.3,62.0,-2,On Watch,On Watch,Strong Growth
STU00068,Jamie Walker,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,654.0,755.9,101.9,16,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00068,Jamie Walker,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,445.7,527.7,82.0,4,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00069,Casey Hill,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,565.6,749.5,183.9,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00069,Casey Hill,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,184.8,105.1,-79.7,-13,On Watch,Intervention,Declining
STU00070,Casey Wilson,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,425.2,393.2,-32.0,5,At/Above Benchmark,At/Above Benchmark,Declining
STU00070,Casey Wilson,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,251.3,342.5,91.2,13,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00071,Parker Nguyen,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,675.1,870.5,195.4,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00071,Parker Nguyen,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,404.6,530.9,126.3,15,On Watch,At/Above Benchmark,Strong Growth
STU00072,Riley Smith,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,788.7,933.2,144.5,15,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00072,Riley Smith,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,680.2,835.9,155.7,31,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00073,Logan Davis,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,781.1,788.3,7.2,-2,At/Above Benchmark,At/Above Benchmark,Flat
STU00073,Logan Davis,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,775.9,879.8,103.9,16,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00074,Jamie Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,510.7,590.2,79.5,12,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00074,Jamie Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,395.7,377.5,-18.2,-11,At/Above Benchmark,At/Above Benchmark,Declining
STU00075,Logan Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,561.1,652.9,91.8,8,On Watch,At/Above Benchmark,Strong Growth
STU00075,Logan Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,805.7,875.0,69.3,10,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00076,Harper Walker,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,514.3,493.0,-21.3,-29,At/Above Benchmark,At/Above Benchmark,Declining
STU00076,Harper Walker,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,86.3,256.4,170.1,27,Intervention,At/Above Benchmark,Strong Growth
STU00077,Casey Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,615.7,678.0,62.3,7,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00077,Casey Nguyen,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,275.9,416.0,140.1,21,Urgent Intervention,On Watch,Strong Growth
STU00078,Logan Anderson,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,643.3,743.7,100.4,6,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00078,Logan Anderson,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,665.8,870.5,204.7,18,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00079,Logan Hill,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,582.5,620.5,38.0,8,On Watch,At/Above Benchmark,Strong Growth
STU00079,Logan Hill,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,599.2,670.5,71.3,5,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00080,Sage Patel,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,773.7,890.2,116.5,22,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00080,Sage Patel,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,721.5,604.4,-117.1,-32,At/Above Benchmark,Intervention,Declining
STU00081,Micah Davis,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,429.0,570.2,141.2,35,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00081,Micah Davis,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,297.6,382.9,85.3,18,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00082,Emery Hill,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,97.1,235.9,138.8,18,On Watch,At/Above Benchmark,Strong Growth
STU00082,Emery Hill,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,297.1,299.2,2.1,-10,At/Above Benchmark,At/Above Benchmark,Flat
STU00083,Micah Martinez,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,289.3,259.9,-29.4,-3,On Watch,On Watch,Declining
STU00083,Micah Martinez,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,258.7,377.3,118.6,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00084,Reese Martinez,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,437.8,428.3,-9.5,-1,Intervention,Intervention,Declining
STU00084,Reese Martinez,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,782.9,800.5,17.6,5,At/Above Benchmark,At/Above Benchmark,On Track
STU00085,Noa Lee,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,239.9,351.5,111.6,19,On Watch,At/Above Benchmark,Strong Growth
STU00085,Noa Lee,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,336.0,488.9,152.9,18,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00086,Casey Smith,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,334.1,296.9,-37.2,-3,At/Above Benchmark,On Watch,Declining
STU00086,Casey Smith,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,486.0,441.3,-44.7,-12,At/Above Benchmark,At/Above Benchmark,Declining
STU00087,Riley Young,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,592.9,674.0,81.1,3,Intervention,On Watch,Strong Growth
